Title,Rank,Genre,Description,Director,Actors,Year,Runtime (Minutes),Rating,Votes,Revenue (Millions),Metascore
Guardians of the Galaxy,1,"Action, Adventure, Sci-Fi",A group of intergalactic criminals are forced ...,James Gunn,"Chris Pratt, Vin Diesel, Bradley Cooper, Zoe S...",2014,121,8.1,757074.0,333.13,76
Prometheus,2,"Adventure, Mystery, Sci-Fi","Following clues to the origin of mankind, a te...",Ridley Scott,"Noomi Rapace, Logan Marshall-Green, Michael Fa...",2012,124,7.0,485820.0,126.46,65
Split,3,"Horror, Thriller",Three girls are kidnapped by a man with a diag...,M. Night Shyamalan,"James McAvoy, Anya Taylor-Joy, Haley Lu Richar...",2016,117,7.3,157606.0,138.12,62
Sing,4,"Animation, Comedy, Family","In a city of humanoid animals, a hustling thea...",Christophe Lourdelet,"Matthew McConaughey,Reese Witherspoon, Seth Ma...",2016,108,7.2,758129.5555555555,270.32,59
Suicide Squad,5,"Action, Adventure, Fantasy",A secret government agency recruits some of th...,David Ayer,"Will Smith, Jared Leto, Margot Robbie, Viola D...",2016,123,6.2,758129.5555555555,325.02,40
Interstellar,6,"Action, Sci-Fi, Adventure",A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,Christopher Nolan,"Matthew McConaughey, Anne Hathaway, Jessica Chastain",2014,169,8.6,758129.5555555555,677.47,74
The Se7en,7,"Drama, Mystery, Thriller","Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",David Fincher,"Morgan Freeman, Brad Pitt, Kevin Spacey",1995,127,8.6,758129.5555555555,100.13,65
Ratatuoille,8,"Animation, Adventure, Comedy",A rat who can cook makes an unusual alliance with a young kitchen worker at a famous restaurant.,Brad Bird,"Patton Oswalt, Ian Holm, Lou Romano, Brian Dennehy",2007,111,8.0,758129.5555555555,206.45,96
The Godfather,9,"Crime, Drama",An organized crime dynasty's aging patriarch transfers control of his clandestine empire to his reluctant son.,Francis Ford Coppola,"Marlon Brando, Al Pacino, James Caan, Diane Keaton",1972,175,9.2,758129.5555555555,134.97,100
Avengers: The endgame,10,"Action, Adventure, Fantasy",The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation puts an end to the universe.,"Anthony Russo, Joe Russo","Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans",2018,149,8.4,1037332.0,858.37,68
Titanic,11,"Drama, Romance","A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.",James Cameron,"Leonardo DiCaprio, Kate Winslet, Billy Zane, Kathy Bates",1997,195,7.9,1103540.0,,75
IT,12,"Horror, Thriller","In the summer of 1989, a group of bullied kids band together to destroy a shape-shifting monster that disguises itself as a clown.",Andy Muschietti,"Bill Skarsgård, Jaeden Martell, Finn Wolfhard, Sophia Lillis",2017,135,7.3,490822.0,,69
The Avatar,13,"Adventure, Drama, Sci-Fi",A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,James Cameron,"Sam Worthington, Zoe Saldana, Sigourney Weaver, Michelle Rodriguez",2009,162,7.9,1244661.0,,83
Goodfellas,14,"Crime, Drama","The story is about Henry Hill, an aspiring gangster engaged in robberies along with accomplices Jimi Conway and Tommy DeVito, who easily kill anyone who gets in their way.",Martin Scorsese,"Robert De Niro, Ray Liotta, Joe Pesci, Lorraine Bracco",1990,146,8.7,1114572.0,,91
John Wick,15,"Action, Crime, Thriller","John Wick, a retired hitman, seeks vengeance for the death of his beloved dog, triggering a relentless killing spree.",Chad Stahelski,"Keanu Reeves, Michael Nyqvist, Alfie Allen, Willem Dafoe",2014,101,7.4,431739.0,,68
